Provider ID,City,Store name,Address,Latitude,Longitude,Manual_radius_km,Est_CPO_EUR
203428,Kyiv,"ANRI-PHARM, с. Крюківщина, вул. Одеська, 22","с. Крюківщина, вул. Одеська, 22",50.37045,30.38184,4.0,2.30
203409,Kyiv,"ANRI-PHARM, с. Петропавлівська Борщагівка, ЖК ""Щасливий"", вул. Соборна, 10 А","с. Петропавлівська Борщагівка, ЖК ""Щасливий"", вул. Соборна, 10 А",50.43698,30.34921,3.8,2.27
203418,Kyiv,"ANRI-PHARM, с. Софіївська Борщагівка, вул. Івана Франка, 6","Софіївська Борщагівка, вул. Івана Франка, 6",50.4001,30.37336,3.1,2.16
203403,Kyiv,"ANRI-PHARM, с. Софіївська Борщагівка, вул. Сагайдачного, 20а, ТЦ""Львівський маєток""","с. Софіївська Борщагівка, вул. Сагайдачного, 20а, ТЦ""Львівський маєток""",50.40423,30.335343,3.1,2.16
203441,Kyiv,"ANRI-PHARM, с. Софіївська Борщагівка, вул.Щаслива,19/6","с. Софіївська Борщагівка, вул.Щаслива,19/6 з 01.08. будинок №20 під'їзд 16",50.401279,30.385581,2.9,2.13
203437,Kyiv,"ANRI-PHARM, с. Софіївська Борщагівка, пр-т Героїв Небесної Сотні, 24/83","с. Софіївська Борщагівка, пр-т Героїв Небесної Сотні, 24/83",50.401379,30.335505,3.1,2.16
203439,Kyiv,"ANRI-PHARM, с. Софіївська Борщагівка,вул.Соборна, 118-А","с. Софіївська Борщагівка,вул.Соборна, 118-А",50.40892,30.33704,3.1,2.16
442714,Lviv,"ANRI-PHARM, Замарстинівська, 170Л","м. Львів, Замарстинівська, 170Л",49.86872,24.027125,4.5,2.18
862522,Lviv,"ANRI-PHARM, Кульпарківська, 230А (duplicate of 203459)","м. Кульпарківська, 230А корп3",49.803329,23.979904,4.7,2.21
203459,Lviv,"ANRI-PHARM, Кульпарківська, 230А корп3, прим 1б (ЖК ФАМІЛІЯ)","м. Кульпарківська, 230А корп3",49.80368,23.97937,4.8,2.22
862732,Lviv,"ANRI-PHARM, Шевченка, 38","м.Львів, Шевченка, 38",49.843998,24.01312,3.8,2.06
472709,Lviv,"ANRI-PHARM, вул Франка,39","м. Львів, вул Франка,39",49.83342,24.034276,4.1,2.11
682721,Lviv,"ANRI-PHARM, вул. Малоголосківська, буд. 40a","м. Львів, вул. Малоголосківська, буд. 40a",49.867185,23.999385,4.8,2.22
562705,Lviv,"ANRI-PHARM, вул.І.Франка, 13","м. Львів, вул.І.Франка, 13",49.836617,24.035152,4.3,2.14
742739,Vyshhorod,"ANRI-PHARM, м. Вишгород, вул. Набережна, 6Г","м. Вишгород, вул. Набережна, 6Г",50.583126,30.485678,5.0,2.43
203457,Vyshhorod,"ANRI-PHARM, м. Вишгород,Кургузова,1-А,корп.3 (Вышгород-1)","м. Вишгород,Кургузова,1-А,корп.3 (Вышгород-1)",50.58354,30.47361,6.0,2.59
203435,Irpin,"ANRI-PHARM, м. Ірпінь, вул. Університетська, 2ф/2, ЖК Карат","м. Ірпінь, вул. Університетська, 2ф/2, ЖК Карат",50.50589,30.23448,6.0,2.59
203410,Brovary,"ANRI-PHARM, м. Бровари, вул. Чорновола, 6А","Viacheslava Chornovola St, 6А, Brovary, Kyivs'ka oblast, 07400",50.51788,30.78106,6.0,2.59
