Provider ID,City,Store name,Address,Latitude,Longitude,Manual_radius_km,Est_CPO_EUR
352666,Kyiv,"ФОРА Харьківске шосе, 8","Київ, Харьківске шосе, 8",50.438827,30.628384,1.3,1.94
562666,Kyiv,"ФОРА вул. Березняківська, 36-А","Київ, вул. Березняківська, 36-А",50.423812,30.597823,1.3,1.94
1012684,Kyiv,"ФОРА бульв. М.Руденка, 24","Київ, бульв. М.Руденка, 24",50.425504,30.375336,1.3,1.94
472660,Kyiv,"ФОРА вул. Новомостицька, 2","Київ, вул. Новомостицька, 2",50.500078,30.440256,1.5,1.97
382673,Kyiv,"ФОРА вул. Парково-Сирецька, 12","Київ, вул. Парково-Сирецька, 12",50.463017,30.434152,1.3,1.94
892675,Kyiv,"ФОРА вул. Берлінського, 14","Київ, вул. Берлінського, 14",50.476634,30.44196,1.5,1.97
592683,Kyiv,"ФОРА вул. Святошинська, 40","Вишневе, вул. Святошинська, 40",50.393131,30.368695,1.3,1.94
262691,Kyiv,"ФОРА вул. Борщагівська, 212","Київ, вул. Борщагівська, 212",50.441934,30.432727,1.3,1.94
382674,Kyiv,"ФОРА вул. Вишгородська, 44","Київ, вул. Вишгородська, 44",50.513528,30.450501,1.3,1.94
622695,Kyiv,"ФОРА вул. Садова, 6-А","Новосілки, вул. Садова, 6-А",50.349202,30.45309,1.4,1.95
262692,Kyiv,"ФОРА вул. Ірини Бекешкіної, 12","Київ, вул. Ірини Бекешкіної, 12",50.489017,30.607088,1.4,1.95
742687,Kyiv,"ФОРА вул. Костанайська, 10","Київ, вул. Костанайська, 10",50.405692,30.505494,1.3,1.94
832681,Kyiv,"ФОРА бульв. Гавела Вацлава, 83","Київ, бульв. Гавела Вацлава, 83",50.426339,30.419582,1.8,2.02
922655,Kyiv,"ФОРА бульв. Жуля Верна, 7","Київ, бульв. Жуля Верна, 7",50.432448,30.369003,1.3,1.94
382675,Kyiv,"ФОРА вул. Бальзака, 94","Київ, вул. Бальзака, 94",50.530306,30.611064,1.3,1.94
772681,Kyiv,"ФОРА вул. Вінст.Черчилля, 33/10","Київ, вул. Вінст.Черчилля, 33/10",50.454168,30.627637,1.8,2.02
862679,Kyiv,"ФОРА бульв. Гавела Вацлава, 45","Київ, бульв. Гавела Вацлава, 45",50.44078,30.409066,1.8,2.02
562667,Kyiv,"ФОРА вул. Закревського, 93-А","Київ, вул. Закревського, 93-А",50.529505,30.627115,1.3,1.94
952667,Kyiv,"ФОРА вул. Табірна, 46/48","Київ, вул. Табірна, 46/48",50.459191,30.421817,1.3,1.94
412676,Kyiv,"ФОРА вул. Симона Петлюри, 2","Боярка, вул. Симона Петлюри, 2",50.344015,30.300598,2.3,2.10
922656,Kyiv,"ФОРА бульв. Гавела Вацлава, 54/26","Київ, бульв. Гавела Вацлава, 54/26",50.42352,30.425911,1.3,1.94
562668,Kyiv,"ФОРА просп. Науки, 24","Київ, просп. Науки, 24",50.399612,30.528962,1.3,1.94
802679,Kyiv,"ФОРА вул. Ак. Кіпріанова, 8","Київ, вул. Ак. Кіпріанова, 8",50.439396,30.37872,1.3,1.94
652684,Kyiv,"ФОРА вул. Миропільська, 11","Київ, вул. Миропільська, 11",50.465044,30.625231,1.3,1.94
712672,Kyiv,"ФОРА вул. Драгоманова, 19","Київ, вул. Драгоманова, 19",50.408151,30.639838,1.4,1.95
1012685,Kyiv,"ФОРА вул. Ревуцького, 26","Київ, вул. Ревуцького, 26",50.408696,30.647077,1.5,1.97
982683,Kyiv,"ФОРА вул. Ак. Корольова, 8","Київ, вул. Ак. Корольова, 8",50.429495,30.393127,1.3,1.94
922657,Kyiv,"ФОРА вул. Чорновола, 46-Б","Вишневе, вул. Чорновола, 46-Б",50.388055,30.391936,1.4,1.95
472661,Kyiv,"ФОРА вул. Л.Українки, 19","Софіївська Борщагівка, вул. Л.Українки, 19",50.40183,30.378721,1.4,1.95
262693,Kyiv,"ФОРА вул. Володимирська, 2г","Святопетрівське, вул. Володимирська, 2г",50.381606,30.322064,2.3,2.10
