City,Store name,Address,Latitude,Longitude,Radius_OptionA_cityUniform_km,Radius_OptionB_perStore_km,Radius_OptionC_countryUnified_km,OptionB_demand_reach_%,OptionB_cannibalization_%,OptionB_CPO_EUR
Kyiv,"ФОРА просп. Відрадний, 14/45","Київ, просп. Відрадний, 14/45",50.429562,30.430348,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Кубанської України, 47","Київ, вул. Кубанської України, 47",50.485941,30.629784,1.5,1.3,1.6,0.9,100.0,1.936
Kyiv,"ФОРА вул. Бальзака, 42/20","Київ, вул. Бальзака, 42/20",50.512597,30.601233,1.5,1.7,1.6,1.8,97.8,2.0
Kyiv,"ФОРА бульв. Гавела Вацлава, 29","Київ, бульв. Гавела Вацлава, 29",50.444897,30.415484,1.5,1.3,1.6,1.1,98.5,1.936
Kyiv,"ФОРА вул. Кондратюка, 2","Київ, вул. Кондратюка, 2",50.525732,30.456302,1.5,1.4,1.6,0.7,58.4,1.952
Kyiv,"ФОРА вул. Алматинська, 41 Б","Київ, вул. Алматинська, 41 Б",50.444981,30.662357,1.5,1.5,1.6,0.7,97.6,1.968
Kyiv,"ФОРА бульв. М.Руденка, 7 Б","Київ, бульв. М.Руденка, 7 Б",50.41948,30.382219,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Заболотного, 48А","Київ, вул. Заболотного, 48А",50.363922,30.465071,1.5,1.5,1.6,1.2,100.0,1.968
Kyiv,"ФОРА вул. Ак. Доброхотова, 11-А","Київ, вул. Ак. Доброхотова, 11-А",50.462253,30.364386,1.5,1.5,1.6,1.5,97.2,1.968
Kyiv,"ФОРА Харьківске шосе, 8","Київ, Харьківске шосе, 8",50.438827,30.628384,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Березняківська, 36-А","Київ, вул. Березняківська, 36-А",50.423812,30.597823,1.5,1.3,1.6,0.8,83.7,1.936
Kyiv,"ФОРА бульв. М.Руденка, 24","Київ, бульв. М.Руденка, 24",50.425504,30.375336,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Новомостицька, 2","Київ, вул. Новомостицька, 2",50.500078,30.440256,1.5,1.3,1.6,1.1,80.0,1.936
Kyiv,"ФОРА вул. Парково-Сирецька, 12","Київ, вул. Парково-Сирецька, 12",50.463017,30.434152,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Берлінського, 14","Київ, вул. Берлінського, 14",50.476634,30.44196,1.5,1.3,1.6,1.1,97.7,1.936
Kyiv,"ФОРА вул. Святошинська, 40","Вишневе, вул. Святошинська, 40",50.393131,30.368695,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Борщагівська, 212","Київ, вул. Борщагівська, 212",50.441934,30.432727,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Вишгородська, 44","Київ, вул. Вишгородська, 44",50.513528,30.450501,1.5,1.3,1.6,1.1,93.2,1.936
Kyiv,"ФОРА вул. Садова, 6-А","Новосілки, вул. Садова, 6-А",50.349202,30.45309,1.5,1.4,1.6,1.0,100.0,1.952
Kyiv,"ФОРА вул. Ірини Бекешкіної, 12","Київ, вул. Ірини Бекешкіної, 12",50.489017,30.607088,1.5,1.4,1.6,1.2,100.0,1.952
Kyiv,"ФОРА вул. Костанайська, 10","Київ, вул. Костанайська, 10",50.405692,30.505494,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА бульв. Гавела Вацлава, 83","Київ, бульв. Гавела Вацлава, 83",50.426339,30.419582,1.5,1.3,1.6,1.1,98.5,1.936
Kyiv,"ФОРА бульв. Жуля Верна, 7","Київ, бульв. Жуля Верна, 7",50.432448,30.369003,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Бальзака, 94","Київ, вул. Бальзака, 94",50.530306,30.611064,1.5,1.3,1.6,0.8,100.0,1.936
Kyiv,"ФОРА вул. Вінст.Черчилля, 33/10","Київ, вул. Вінст.Черчилля, 33/10",50.454168,30.627637,1.5,1.3,1.6,1.0,100.0,1.936
Kyiv,"ФОРА бульв. Гавела Вацлава, 45","Київ, бульв. Гавела Вацлава, 45",50.44078,30.409066,1.5,1.3,1.6,1.1,97.8,1.936
Kyiv,"ФОРА вул. Закревського, 93-А","Київ, вул. Закревського, 93-А",50.529505,30.627115,1.5,1.3,1.6,0.5,100.0,1.936
Kyiv,"ФОРА вул. Табірна, 46/48","Київ, вул. Табірна, 46/48",50.459191,30.421817,1.5,1.3,1.6,1.1,98.5,1.936
Kyiv,"ФОРА вул. Симона Петлюри, 2","Боярка, вул. Симона Петлюри, 2",50.344015,30.300598,1.5,1.9,1.6,2.0,69.4,2.032
